timestamp_issued,response_id,sample_index,model,tag,latency_ns,latency_ms
1770976580.0658634,2149470686688,213,resnet,1,518149100,518.1491000039387
1770976580.2827783,2149470686784,379,yolo,1,518635699,518.6356999984127
1770976580.5328581,2149470686832,229,yolo,2,518480600,518.4806000033859
1770976580.5480735,2149470687648,247,yolo,2,517216200,517.2162000017124
1770976580.6254616,2149470687744,78,resnet,1,517079899,517.079899997043
1770976580.830065,2149470687792,178,yolo,3,518653399,518.6533999949461
1770976580.9087477,2149470688368,312,resnet,3,516886600,516.8866000021808
1770976581.1553845,2149470688512,335,bert,3,517634399,517.6343999992241
1770976581.405314,2149470688032,34,yolo,1,519863099,519.8630999948364
1770976581.4217892,2149470691056,348,resnet,3,516705300,516.7053000041051
1770976581.4525611,2149470690912,308,bert,3,504580600,504.5806000052835
