timestamp_issued,response_id,sample_index,model,tag,kserve,latency_ns,latency_ms
1770993762.9342003,2389969913136,31,yolo,3,False,516074899,516.0748999987845
1770993762.996614,2389969913184,371,bert,3,False,506876499,506.8764999959967
1770993762.998638,2389969913232,443,bert,3,False,516123000,516.1230000012438
1770993763.029546,2389969913328,126,resnet,1,False,517333499,517.3334999999497
1770993763.091681,2389969915824,46,yolo,2,False,518101500,518.1015000052867
1770993763.138753,2389969915728,495,resnet,3,False,516422499,516.4224999971339
1770993763.1536107,2389969915248,181,yolo,1,False,506493200,506.49320000229636
1770993763.156807,2389969915344,111,resnet,1,False,504098599,504.09859999490436
1770993763.2141027,2389969915152,63,resnet,3,False,517127799,517.1277999979793
1770993763.3702357,2389969915440,236,bert,2,False,504283299,504.28329999704147
1770993763.4181259,2389969915200,192,resnet,1,False,503712100,503.71210000594147
1770993763.4639394,2389969915776,119,bert,2,False,516941400,516.9414000047254
1770993763.7398164,2389969915872,496,yolo,3,False,517998700,517.9987000010442
1770993763.785845,2389969915920,327,resnet,1,False,517483999,517.4839999963297
1770993763.8179922,2389969916016,318,resnet,3,False,517443999,517.4439999973401
1770993763.8493898,2389969915680,301,yolo,3,False,517837799,517.8377999982331
1770993763.8968842,2389969915632,143,bert,2,False,517225100,517.2251000039978
1770993763.911359,2389969915968,102,resnet,2,False,517383800,517.3838000046089
1770993763.9751017,2389969915296,236,bert,2,False,516910899,516.9108999980381
1770993763.9898317,2389969915392,83,bert,2,False,517529999,517.5299999973504
1770993764.0666606,2389969915488,338,bert,3,False,517438099,517.4380999960704
1770993764.2066007,2389969915536,150,resnet,3,False,518912300,518.9123000018299
1770993764.2684278,2389969915584,288,resnet,1,False,504774099,504.7740999943926
1770993764.2692914,2389969906464,81,resnet,2,False,516454399,516.4543999999296
1770993764.3153174,2389969907520,242,bert,3,False,517572899,517.5728999965941
1770993764.3780773,2389976742032,10,yolo,1,False,518136500,518.1365000025835
1770993764.5506423,2389976742704,313,yolo,1,False,518209100,518.2091000024229
1770993764.659218,2389976744336,421,yolo,2,False,517891900,517.8919000027236
1770993764.6906073,2389976743616,359,bert,1,False,516714900,516.7149000044446
1770993764.6926923,2389976743568,413,bert,1,False,515027500,515.0275000050897
1770993764.7208276,2389976742320,432,resnet,1,False,506972299,506.9722999978694
1770993764.7223387,2389976741696,195,resnet,2,False,506601400,506.60140000400133
1770993764.7518592,2389976741648,440,bert,1,False,517355799,517.3557999951299
1770993764.953068,2389976741600,61,yolo,1,False,516941999,516.9419999947422
1770993764.969194,2389976741888,86,bert,1,False,517120800,517.1208000028855
1770993764.9995062,2389976744000,340,yolo,1,False,516618499,516.6184999980032
1770993765.0609717,2389976741360,213,resnet,2,False,517618199,517.6181999995606
1770993765.1699924,2389976742080,379,yolo,1,False,516478800,516.4788000038243
1770993765.292167,2389976743952,229,yolo,1,False,518188300,518.1883000041125
1770993765.3078208,2389976743904,247,yolo,2,False,517644999,517.6449999999022
1770993765.3557003,2389976742176,78,resnet,1,False,504318600,504.3186000038986
1770993765.4499357,2389976741408,178,yolo,3,False,517934099,517.9340999966371
1770993765.4806468,2389976743232,312,resnet,2,False,517205300,517.2053000060259
1770993765.6050117,2389976741504,335,bert,1,False,518069800,518.0698000040138
1770993765.7306848,2389976744144,34,yolo,1,False,504970699,504.9706999998307
1770993765.731536,2389976744096,348,resnet,1,False,517569799,517.569799994817
1770993765.7484164,2389976743328,251,bert,1,False,515563499,515.56349999737
1770993765.7473352,2389976743280,308,bert,3,False,517039400,517.0394000015222
1770993765.8405416,2389976742368,13,yolo,1,False,517936099,517.9360999973142
